title	n_users	n_edits
Testosterone	120	449
Mephedrone	74	291
MDMA	61	1911
George W. Bush	56	1942
Methylenedioxypyrovalerone	56	205
Wikipedia	56	1616
Lysergic acid diethylamide	49	641
Methamphetamine	44	429
Cannabis (drug)	42	1520
JWH-018	42	114
2C-I	41	101
Amphetamine	40	481
Cocaine	36	390
Stanozolol	36	67
United States	36	651
Jesus	33	894
Selegiline	33	90
Adolf Hitler	32	541
N,N-Dimethyltryptamine	32	255
Caffeine	31	619
Cat	31	300
25I-NBOMe	30	280
Heroin	30	318
2C-B	29	191
Global warming	28	395
Methylphenidate	28	492
2C-E	27	68
5-MeO-DMT	27	52
Ketamine	27	426
Phenibut	27	68
Anabolic steroid	26	1041
Benzylpiperazine	26	72
Memantine	26	56
Tetrahydrocannabinol	26	254
Adderall	25	326
Hurricane Katrina	25	641
Psilocybin	25	94
World War II	25	268
Dihydrotestosterone	24	45
Etizolam	24	141
Nicotine	24	130
Alpha-Methyltryptamine	23	140
Alprazolam	23	455
Ethanol	23	646
Gamma-Butyrolactone	23	69
Harry Potter	23	314
Benzodiazepine	22	1626
Cannabinoid	22	104
Modafinil	22	258
Nandrolone	22	38
